"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","The max time editing any one source file."
"org.openrewrite.staticanalysis.CommonStaticAnalysis","5","0","9328","3217","11510","3326"
"org.openrewrite.staticanalysis.DefaultComesLast","5","0","0","0","8506509","8203695"
"org.openrewrite.staticanalysis.UnnecessaryReturnAsLastStatement","5","0","0","0","741643","418740"
"org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums","5","0","0","0","79630","56316"
"org.openrewrite.staticanalysis.BooleanChecksNotInverted","5","0","0","0","474174","244235"
"org.openrewrite.staticanalysis.NoRedundantJumpStatements","5","0","0","0","663868","388003"
"org.openrewrite.staticanalysis.RemoveRedundantNullCheckBeforeInstanceof","5","0","0","0","428278","257189"
"org.openrewrite.staticanalysis.NoToStringOnStringType","5","0","0","0","18453","8976"
"org.openrewrite.staticanalysis.CaseInsensitiveComparisonsDoNotChangeCase","5","0","0","0","62515","48480"
"org.openrewrite.staticanalysis.ReplaceStringConcatenationWithStringValueOf","5","0","0","0","398864","239807"
"org.openrewrite.staticanalysis.FinalClass","5","0","0","0","935755","587906"
"org.openrewrite.staticanalysis.FallThrough","5","0","0","0","771478","484975"
"org.openrewrite.staticanalysis.ModifierOrder","5","0","0","0","1524241","1210597"
"org.openrewrite.staticanalysis.SimplifyBooleanExpression","5","0","0","0","499480","317522"
"org.openrewrite.staticanalysis.StringLiteralEquality","5","0","0","0","652566","338591"
"org.openrewrite.staticanalysis.UseDiamondOperator","5","0","0","0","1129835","818736"
"org.openrewrite.staticanalysis.ExternalizableHasNoArgsConstructor","5","0","0","0","162131","122158"
"org.openrewrite.staticanalysis.UnnecessaryCloseInTryWithResources","5","0","0","0","453768","278510"
"org.openrewrite.kotlin.cleanup.ReplaceCharToIntWithCode","5","0","0","0","1544","441"
"org.openrewrite.staticanalysis.MultipleVariableDeclarations","5","0","0","0","729000","441984"
"org.openrewrite.staticanalysis.MethodNameCasing","5","0","3257364","1691815","106018","73367"
"org.openrewrite.staticanalysis.IndexOfShouldNotCompareGreaterThanZero","5","0","0","0","22309","10620"
"org.openrewrite.staticanalysis.ReplaceLambdaWithMethodReference","5","0","0","0","1375605","1056720"
"org.openrewrite.staticanalysis.BigDecimalDoubleConstructorRecipe","5","0","0","0","393713","340174"
"org.openrewrite.staticanalysis.ReplaceClassIsInstanceWithInstanceof","5","0","0","0","18523","9688"
"org.openrewrite.staticanalysis.NoDoubleBraceInitialization","5","0","0","0","90298","47208"
"org.openrewrite.staticanalysis.UpperCaseLiteralSuffixes","5","0","0","0","1461195","1311054"
"org.openrewrite.staticanalysis.MinimumSwitchCases","5","0","0","0","1208584","904647"
"org.openrewrite.staticanalysis.UnnecessaryPrimitiveAnnotations","5","0","0","0","83869","41889"
"org.openrewrite.staticanalysis.ObjectFinalizeCallsSuper","5","0","0","0","9778","4268"
"org.openrewrite.staticanalysis.RenameMethodsNamedHashcodeEqualOrToString","5","0","0","0","613243","341126"
"org.openrewrite.staticanalysis.AbstractClassPublicConstructor","5","0","0","0","749868","449318"
"org.openrewrite.staticanalysis.EmptyBlock","5","0","0","0","1163328","880170"
"org.openrewrite.staticanalysis.FinalizePrivateFields","5","0","0","0","1147259","1012247"
"org.openrewrite.staticanalysis.UseJavaStyleArrayDeclarations","5","0","0","0","469865","266637"
"org.openrewrite.staticanalysis.ReplaceStringBuilderWithString","5","0","0","0","23594","12503"
"org.openrewrite.staticanalysis.ExplicitInitialization","5","0","0","0","2330987","1641591"
"org.openrewrite.staticanalysis.NoEmptyCollectionWithRawType","5","0","0","0","34846","17222"
"org.openrewrite.staticanalysis.UnnecessaryExplicitTypeArguments","5","0","0","0","447486","259234"
"org.openrewrite.java.RemoveUnusedImports","5","0","0","0","8074765","5062408"
"org.openrewrite.staticanalysis.IsEmptyCallOnCollections","5","0","0","0","18325","8767"
"org.openrewrite.staticanalysis.RemoveExtraSemicolons","5","0","0","0","651232","393383"
"com.patbaumgartner.CodeCleanup","5","0","73648","63559","58219","37170"
"org.openrewrite.staticanalysis.AtomicPrimitiveEqualsUsesGet","5","0","0","0","3254987","2917389"
"org.openrewrite.staticanalysis.LambdaBlockToExpression","5","0","0","0","550766","302033"
"org.openrewrite.staticanalysis.PrimitiveWrapperClassConstructorToValueOf","5","0","0","0","238073","124842"
"org.openrewrite.staticanalysis.WhileInsteadOfFor","5","0","0","0","375991","242853"
