"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","Max edit time (ns)"
"org.openrewrite.staticanalysis.CollectionToArrayShouldHaveProperType","5","0","0","0","469757","267519"
"org.openrewrite.staticanalysis.InlineVariable","5","0","0","0","489953","257761"
"org.openrewrite.kotlin.cleanup.ImplicitParameterInLambda","5","0","0","0","1814","501"
"org.openrewrite.staticanalysis.CovariantEquals","5","0","0","0","815370","725553"
"org.openrewrite.staticanalysis.NestedEnumsAreNotStatic","5","0","0","0","478943","282076"
"org.openrewrite.staticanalysis.UnnecessaryParentheses","5","0","0","0","1451767","1058474"
"org.openrewrite.staticanalysis.ForLoopIncrementInUpdate","5","0","0","0","427387","235509"
"org.openrewrite.staticanalysis.IndexOfChecksShouldUseAStartPosition","5","0","0","0","18786","8556"
"org.openrewrite.staticanalysis.CatchClauseOnlyRethrows","5","0","0","0","1028125","775556"
"org.openrewrite.staticanalysis.RedundantFileCreation","5","0","0","0","70422","40636"
"org.openrewrite.staticanalysis.WriteOctalValuesAsDecimal","5","0","0","0","385960","224839"
"org.openrewrite.staticanalysis.NoPrimitiveWrappersForToStringOrCompareTo","5","0","0","0","36507","21790"
"org.openrewrite.staticanalysis.PreferSystemGetPropertyOverGetenv","5","0","0","0","11530","6231"
"org.openrewrite.staticanalysis.UsePortableNewlines","5","0","0","0","54984","32782"
"org.openrewrite.staticanalysis.StaticMethodNotFinal","5","0","0","0","414652","240108"
"org.openrewrite.staticanalysis.NoFinalizer","5","0","0","0","14046","6402"
"org.openrewrite.staticanalysis.SimplifyArraysAsList","5","0","0","0","18485","9498"
"org.openrewrite.kotlin.cleanup.EqualsMethodUsage","5","0","0","0","4470","1593"
"org.openrewrite.staticanalysis.NoValueOfOnStringType","5","0","0","0","12833","6722"
"org.openrewrite.java.OrderImports","5","0","0","0","61359005","19549107"
"org.openrewrite.staticanalysis.NoEqualityInForCondition","5","0","0","0","432978","274943"
"org.openrewrite.staticanalysis.SimplifyBooleanReturn","5","0","0","0","354913","214991"
"org.openrewrite.staticanalysis.IndexOfReplaceableByContains","5","0","0","0","25748","14106"
"org.openrewrite.staticanalysis.NeedBraces","5","0","0","0","749167","412870"
"org.openrewrite.staticanalysis.RemoveRedundantNullCheckBeforeLiteralEquals","5","0","0","0","572687","445140"
"org.openrewrite.staticanalysis.FixStringFormatExpressions","5","0","0","0","34303","16320"
"org.openrewrite.staticanalysis.ChainStringBuilderAppendCalls","5","0","0","0","19506","9206"
"org.openrewrite.staticanalysis.EqualsAvoidsNull","5","0","0","0","54863","28353"
"org.openrewrite.staticanalysis.NewStringBuilderBufferWithCharArgument","5","0","0","0","146362","82625"
